订单ID	用户ID	国家	省份	城市	区县	订单金额
338895	32942	1	3	41	442	923
338896	106235	1	30	367	3113	459
338897	153918	1	11	163	1393	113
338898	32942	1	3	41	442	617
338899	38704	1	24	312	2609	352
338900	23513	1	6	88	799	943
338901	228609	1	13	180	1554	219
338902	31105	1	27	343	2922	166
338903	140421	1	6	76	697	40
338904	65396	1	6	88	798	71
338905	225462	1	32	394	3335	128
338906	69420	1	10	138	1078	348
338907	33572	1	6	80	748	78
338908	85193	1	22	289	2388	85
338909	4937	1	4	53	523	86
338910	197251	1	24	311	2597	303
338911	57052	1	6	80	748	323
338912	57388	1	6	88	800	182
338913	88548	1	14	202	1701	345
338914	69420	1	10	138	1078	287
338915	215755	1	6	77	709	272
338916	226741	1	16	220	1838	39
338917	12126	1	31	386	3257	385
338918	12102	1	8	115	1002	178
338919	50981	1	9	120	1055	31
338920	15367	1	13	194	1619	195
338921	57052	1	6	80	748	277
338922	92575	1	11	164	1394	230
338923	51408	1	11	160	1361	75
338924	120993	1	7	97	862	458
338925	36703	1	14	197	1649	126
338926	21826	1	4	61	593	127
338927	32942	1	3	41	442	712
338928	120633	1	11	156	1324	216
338929	29386	1	16	230	1940	48
338930	29536	1	11	149	1265	127
338931	23716	1	6	95	847	40
338932	67528	1	15	219	1826	334
338933	231501	1	13	193	1610	61
338934	231501	1	13	193	1610	135
338935	190967	1	11	151	1283	200
338936	226949	1	4	54	531	178
338937	206885	1	14	197	1654	580
338938	178641	1	6	77	709	205
338939	105148	1	14	207	1738	71
338940	192992	1	11	149	1264	549
338941	33679	1	7	110	956	457
338942	9260	1	16	232	1954	1959
338943	39786	1	6	82	757	728
338944	48161	1	11	152	1294	675
338945	227756	1	16	221	1855	162
338946	51671	1	6	83	766	159
338947	35525	1	6	76	695	62
338948	195710	1	6	76	696	46
338949	217593	1	13	190	1602	1056
338950	67249	1	6	88	801	563
338951	21841	1	4	58	566	65
338952	51671	1	6	83	766	66
338953	55023	1	29	357	3042	426
338954	139148	1	6	77	708	164
338955	25591	1	13	180	1554	320
338956	48	1	14	210	1763	1854
338957	89832	1	25	321	2715	126
338958	182407	1	23	310	2583	92
