区域ID	区域名称	区域类型
1710	城步	3
1711	双清区	3
1712	大祥区	3
1713	北塔区	3
1714	武冈市	3
1715	邵东县	3
1716	新邵县	3
1717	邵阳县	3
1718	隆回县	3
1719	洞口县	3
1720	绥宁县	3
1721	新宁县	3
1722	岳塘区	3
1723	雨湖区	3
1724	湘乡市	3
1725	韶山市	3
1726	湘潭县	3
1727	吉首市	3
1728	泸溪县	3
1729	凤凰县	3
1730	花垣县	3
1731	保靖县	3
1732	古丈县	3
1733	永顺县	3
1734	龙山县	3
1735	赫山区	3
1736	资阳区	3
1737	沅江市	3
1738	南县	3
1739	桃江县	3
1740	安化县	3
1741	江华	3
1742	冷水滩区	3
1743	零陵区	3
1744	祁阳县	3
1745	东安县	3
1746	双牌县	3
1747	道县	3
1748	江永县	3
1749	宁远县	3
1750	蓝山县	3
1751	新田县	3
1752	岳阳楼区	3
1753	君山区	3
1754	云溪区	3
1755	汨罗市	3
1756	临湘市	3
1757	岳阳县	3
1758	华容县	3
1759	湘阴县	3
1760	平江县	3
1761	天元区	3
1762	荷塘区	3
1763	芦淞区	3
1764	石峰区	3
1765	醴陵市	3
1766	株洲县	3
1767	攸县	3
1768	茶陵县	3
1769	炎陵县	3
1770	朝阳区	3
1771	宽城区	3
1772	二道区	3
1773	南关区	3
1774	绿园区	3
1775	双阳区	3
1776	净月潭开发区	3
1777	高新技术开发区	3
1778	经济技术开发区	3
1779	汽车产业开发区	3
1780	德惠市	3
1781	九台市	3
1782	榆树市	3
1783	农安县	3
1784	船营区	3
1785	昌邑区	3
1786	龙潭区	3
1787	丰满区	3
1788	蛟河市	3
1789	桦甸市	3
1790	舒兰市	3
1791	磐石市	3
1792	永吉县	3
1793	洮北区	3
1794	洮南市	3
1795	大安市	3
1796	镇赉县	3
1797	通榆县	3
1798	江源区	3
1799	八道江区	3
1800	长白	3
1801	临江市	3
1802	抚松县	3
1803	靖宇县	3
1804	龙山区	3
1805	西安区	3
1806	东丰县	3
1807	东辽县	3
1808	铁西区	3
1809	铁东区	3
1810	伊通	3
1811	公主岭市	3
1812	双辽市	3
1813	梨树县	3
1814	前郭尔罗斯	3
1815	宁江区	3
1816	长岭县	3
1817	乾安县	3
1818	扶余县	3
1819	东昌区	3
1820	二道江区	3
1821	梅河口市	3
1822	集安市	3
1823	通化县	3
1824	辉南县	3
1825	柳河县	3
1826	延吉市	3
1827	图们市	3
1828	敦化市	3
1829	珲春市	3
1830	龙井市	3
1831	和龙市	3
1832	安图县	3
1833	汪清县	3
1834	玄武区	3
1835	鼓楼区	3
1836	白下区	3
1837	建邺区	3
1838	秦淮区	3
1839	雨花台区	3
1840	下关区	3
1841	栖霞区	3
1842	浦口区	3
1843	江宁区	3
1844	六合区	3
1845	溧水县	3
1846	高淳县	3
1847	沧浪区	3
1848	金阊区	3
1849	平江区	3
1850	虎丘区	3
1851	吴中区	3
1852	相城区	3
1853	园区	3
1854	新区	3
1855	常熟市	3
1856	张家港市	3
1857	玉山镇	3
1858	巴城镇	3
1859	周市镇	3
1860	陆家镇	3
1861	花桥镇	3
1862	淀山湖镇	3
1863	张浦镇	3
1864	周庄镇	3
1865	千灯镇	3
1866	锦溪镇	3
1867	开发区	3
1868	吴江市	3
1869	太仓市	3
1870	崇安区	3
1871	北塘区	3
1872	南长区	3
1873	锡山区	3
1874	惠山区	3
1875	滨湖区	3
1876	新区	3
1877	江阴市	3
1878	宜兴市	3
1879	天宁区	3
1880	钟楼区	3
1881	戚墅堰区	3
1882	郊区	3
1883	新北区	3
1884	武进区	3
1885	溧阳市	3
1886	金坛市	3
1887	清河区	3
1888	清浦区	3
1889	楚州区	3
1890	淮阴区	3
1891	涟水县	3
1892	洪泽县	3
1893	盱眙县	3
1894	金湖县	3
1895	新浦区	3
1896	连云区	3
1897	海州区	3
1898	赣榆县	3
1899	东海县	3
1900	灌云县	3
1901	灌南县	3
1902	崇川区	3
1903	港闸区	3
1904	经济开发区	3
1905	启东市	3
1906	如皋市	3
1907	通州市	3
1908	海门市	3
1909	海安县	3
1910	如东县	3
1911	宿城区	3
1912	宿豫区	3
1913	宿豫县	3
1914	沭阳县	3
1915	泗阳县	3
1916	泗洪县	3
1917	海陵区	3
1918	高港区	3
1919	兴化市	3
1920	靖江市	3
1921	泰兴市	3
1922	姜堰市	3
1923	云龙区	3
1924	鼓楼区	3
1925	九里区	3
1926	贾汪区	3
1927	泉山区	3
1928	新沂市	3
1929	邳州市	3
1930	丰县	3
1931	沛县	3
1932	铜山县	3
1933	睢宁县	3
1934	城区	3
1935	亭湖区	3
1936	盐都区	3
1937	盐都县	3
1938	东台市	3
1939	大丰市	3
1940	响水县	3
1941	滨海县	3
1942	阜宁县	3
1943	射阳县	3
1944	建湖县	3
1945	广陵区	3
1946	维扬区	3
1947	邗江区	3
1948	仪征市	3
1949	高邮市	3
1950	江都市	3
1951	宝应县	3
1952	京口区	3
1953	润州区	3
1954	丹徒区	3
1955	丹阳市	3
1956	扬中市	3
1957	句容市	3
1958	东湖区	3
1959	西湖区	3
1960	青云谱区	3
1961	湾里区	3
1962	青山湖区	3
1963	红谷滩新区	3
1964	昌北区	3
1965	高新区	3
1966	南昌县	3
1967	新建县	3
1968	安义县	3
1969	进贤县	3
1970	临川区	3
1971	南城县	3
1972	黎川县	3
1973	南丰县	3
1974	崇仁县	3
1975	乐安县	3
1976	宜黄县	3
1977	金溪县	3
1978	资溪县	3
1979	东乡县	3
1980	广昌县	3
1981	章贡区	3
1982	于都县	3
1983	瑞金市	3
1984	南康市	3
1985	赣县	3
1986	信丰县	3
1987	大余县	3
1988	上犹县	3
1989	崇义县	3
1990	安远县	3
1991	龙南县	3
1992	定南县	3
1993	全南县	3
1994	宁都县	3
1995	兴国县	3
1996	会昌县	3
1997	寻乌县	3
1998	石城县	3
1999	安福县	3
2000	吉州区	3
2001	青原区	3
2002	井冈山市	3
2003	吉安县	3
2004	吉水县	3
2005	峡江县	3
2006	新干县	3
2007	永丰县	3
2008	泰和县	3
